precision,min runtime (ms),max runtime (ms),median runtime (ms)
0.0001,41.733955,45.218001,42.1763605
1.0e-5,46.814416,48.546092,47.17159349999999
1.0e-6,51.907398,56.148557000000004,52.3708945
1.0e-7,52.004787,53.673983,52.42601150000001
1.0e-8,56.98190700000001,63.505217,57.394785000000006
1.0e-9,62.061883,63.75172200000001,62.527333000000006
1.0e-10,67.32869000000001,70.694148,67.64311000000001
1.0e-11,67.33607500000001,69.77903,67.897204
1.0e-12,72.44176300000001,74.676158,72.94968
1.0e-15,71.00511800000001,74.218947,71.3002135
