precision,min runtime (s),max runtime (s),median runtime (s)
0.0001,8.677224025000001,8.677224025000001,8.677224025000001
1.0e-5,9.920927067000001,9.920927067000001,9.920927067000001
1.0e-6,11.170217985,11.170217985,11.170217985
1.0e-7,11.151890118,11.151890118,11.151890118
1.0e-8,12.398259534000001,12.398259534000001,12.398259534000001
1.0e-9,13.619576765000001,13.619576765000001,13.619576765000001
1.0e-10,14.855816742000002,14.855816742000002,14.855816742000002
1.0e-11,14.881418889,14.881418889,14.881418889
1.0e-12,16.127691024,16.127691024,16.127691024
1.0e-15,16.105291084,16.105291084,16.105291084
