system size,min runtime (s),max runtime (s),median runtime (s)
100,0.08254273300000001,0.083831295,0.082810544
200,0.23430113600000002,0.24165899300000002,0.23734966500000002
300,0.9826961790000001,0.9950463620000001,0.988651327
400,2.6747441750000003,2.6747441750000003,2.6747441750000003
500,4.555226202,4.555226202,4.555226202
600,6.639841824,6.639841824,6.639841824
700,9.026664420000001,9.026664420000001,9.026664420000001
800,11.862609451,11.862609451,11.862609451
900,14.959720837,14.959720837,14.959720837
1000,19.051509641000003,19.051509641000003,19.051509641000003
