precision,min runtime (s),max runtime (s),median runtime (s)
0.0001,8.948985593,8.948985593,8.948985593
1.0e-5,10.167526621,10.167526621,10.167526621
1.0e-6,11.382444732000002,11.382444732000002,11.382444732000002
1.0e-7,11.513018657,11.513018657,11.513018657
1.0e-8,12.776738911,12.776738911,12.776738911
1.0e-9,14.032313082000002,14.032313082000002,14.032313082000002
1.0e-10,15.235186969,15.235186969,15.235186969
1.0e-11,15.321674151000002,15.321674151000002,15.321674151000002
1.0e-12,16.596784664,16.596784664,16.596784664
1.0e-15,16.552456142,16.552456142,16.552456142
