system size,min runtime (s),max runtime (s),median runtime (s)
100,0.10456949800000001,0.18700382100000001,0.10780166000000001
200,0.307593711,0.332075445,0.312285079
300,1.123896311,1.133468418,1.129097789
400,2.792938576,2.792938576,2.792938576
500,4.822323112,4.822323112,4.822323112
600,6.853567483000001,6.853567483000001,6.853567483000001
700,9.253930378,9.253930378,9.253930378
800,12.097983646000001,12.097983646000001,12.097983646000001
900,15.360876436000002,15.360876436000002,15.360876436000002
1000,19.153980174,19.153980174,19.153980174
