system size,min runtime (s),max runtime (s),median runtime (s)
100,0.07293901900000001,0.126682642,0.075109641
200,0.21074141500000002,0.23212338100000002,0.21469944950000003
300,0.761140067,0.770193597,0.7664069085
400,1.8601379340000002,1.8615706170000001,1.8608542755000002
500,3.233910029,3.233910029,3.233910029
600,4.588843657,4.588843657,4.588843657
700,6.1906490960000005,6.1906490960000005,6.1906490960000005
800,8.036009157,8.036009157,8.036009157
900,10.291933426,10.291933426,10.291933426
1000,12.66087429,12.66087429,12.66087429
