system size,min runtime (s),max runtime (s),median runtime (s)
5,0.009984461,0.060756622,0.010640894000000001
10,0.01650437,0.058157478000000006,0.018828947000000002
20,0.047881747,0.09681463900000001,0.057735679
30,0.105511797,0.150148303,0.107984991
40,0.191219683,0.235691916,0.2015398455
50,0.321483748,0.32980856000000003,0.323756164
60,0.480335414,0.48983306600000004,0.48391553200000004
70,0.6852876170000001,0.699624906,0.687327427
80,0.913408658,0.9316195,0.918457163
90,1.2259329270000001,1.2414679050000001,1.238833413
100,1.563110983,1.5893363230000002,1.571641496
